Compound_ID,Common_Name,SMILES,InChIKey,Ring_Count,Heteroatom_Count,Status,Molecular_Weight,LogP,TPSA,Rotatable_Bonds,H_Bond_Acceptor,H_Bond_Donor
PT-0029,Hederagenin based PROTAC,O([H])[C@]1CC[C@](C)2[C@]([H])([C@]1(C)CO[H])CC[C@](C)1[C@@](C)3CC[C@](C(=O)NCCOCC(=O)NC(C(C)(C)C)C(=O)N4[C@](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@](O)C4)4CCC(C)(C)C[C@@]4([H])C3=CC[C@@]12[H],,8,14,Valid,983.3499999999995,8.745790000000005,190.42,13.0,10.0,6.0
PT-0030,Hederagenin based PROTAC,O([H])[C@]1CC[C@](C)2[C@]([H])([C@]1(C)CO[H])CC[C@](C)1[C@@](C)3CC[C@](C(=O)NCCOCCOCC(=O)NC(C(C)(C)C)C(=O)N4[C@](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@](O)C4)4CCC(C)(C)C[C@@]4([H])C3=CC[C@@]12[H],,8,15,Valid,1027.4029999999996,8.762390000000005,199.65,16.0,11.0,6.0
PT-0031,Hederagenin based PROTAC,O([H])[C@]1CC[C@](C)2[C@]([H])([C@]1(C)CO[H])CC[C@](C)1[C@@](C)3CC[C@](C(=O)NCCOCCOCCOCC(=O)NC(C(C)(C)C)C(=O)N4[C@](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@](O)C4)4CCC(C)(C)C[C@@]4([H])C3=CC[C@@]12[H],,8,16,Valid,1071.4559999999997,8.778990000000006,208.88000000000002,19.0,12.0,6.0
PT-0032,Hederagenin based PROTAC,O([H])[C@]1CC[C@](C)2[C@]([H])([C@]1(C)CO[H])CC[C@](C)1[C@@](C)3CC[C@](C(=O)NCCOCCOCCOCCOCC(=O)NC(C(C)(C)C)C(=O)N4[C@](C(NCC5=CC=C(C6=C(C)N=CS6)C=C5)=O)C[C@@](O)C4)4CCC(C)(C)C[C@@]4([H])C3=CC[C@@]12[H],,8,17,Valid,1115.5089999999998,8.795590000000006,218.10999999999999,22.0,13.0,6.0
PT-0034,Wogonin based PROTAC,C1(C2=C(OC(C3C=CC=CC=3)=CC2=O)C(OCCCCCC(=O)NC2C3C(N(C(=O)C=3C=CC=2)C2C(=O)NC(=O)CC2)=O)=C(O)C=1)O,,6,13,Valid,639.6170000000002,3.850300000000003,192.54999999999995,10.0,10.0,4.0
PT-0035,Wogonin based PROTAC,C1(C2=C(OC(C3C=CC=CC=3)=CC2=O)C(OCCCCCCC(=O)NC2C3C(N(C(=O)C=3C=CC=2)C2C(=O)NC(=O)CC2)=O)=C(O)C=1)O,,6,13,Valid,653.6440000000002,4.240400000000005,192.54999999999995,11.0,10.0,4.0
PT-0036,Wogonin based PROTAC,C1(C2=C(OC(C3C=CC=CC=3)=CC2=O)C(OCCCCCCCC(=O)NC2C3C(N(C(=O)C=3C=CC=2)C2C(=O)NC(=O)CC2)=O)=C(O)C=1)O,,6,13,Valid,667.6710000000003,4.630500000000006,192.54999999999995,12.0,10.0,4.0
PT-0037,Wogonin based PROTAC,C1(C2=C(OC(C3C=CC=CC=3)=CC2=O)C(OCCCCCCCCCC(=O)NC2C3C(N(C(=O)C=3C=CC=2)C2C(=O)NC(=O)CC2)=O)=C(O)C=1)O,,6,13,Valid,695.7250000000004,5.410700000000007,192.54999999999995,14.0,10.0,4.0
PT-0038,Wogonin based PROTAC,C1(=C2C(OC(=CC2=O)C2C=CC=CC=2)=C(OCC2=CN(CCCCCC(=O)NC3=CC=CC4=C3C(N(C4=O)C3C(=O)NC(=O)CC3)=O)N=N2)C(O)=C1)O,,7,16,Valid,720.6950000000003,3.6420000000000026,223.25999999999993,12.0,12.0,4.0
PT-0039,Wogonin based PROTAC,C1(=C2C(OC(=CC2=O)C2C=CC=CC=2)=C(OCC2=CN(CCCCCCC(=O)NC3=CC=CC4=C3C(N(C4=O)C3C(=O)NC(=O)CC3)=O)N=N2)C(O)=C1)O,,7,16,Valid,734.7220000000003,4.032100000000004,223.25999999999993,13.0,12.0,4.0
PT-0040,Wogonin based PROTAC,C1(=C2C(OC(=CC2=O)C2C=CC=CC=2)=C(OCC2=CN(CCCCCCCC(=O)NC3=CC=CC4=C3C(N(C4=O)C3C(=O)NC(=O)CC3)=O)N=N2)C(O)=C1)O,,7,16,Valid,748.7490000000004,4.422200000000005,223.25999999999993,14.0,12.0,4.0
PT-0041,Wogonin based PROTAC,C1(=C2C(OC(=CC2=O)C2C=CC=CC=2)=C(OCC2=CN(CCCCCCCCCC(=O)NC3=CC=CC4=C3C(N(C4=O)C3C(=O)NC(=O)CC3)=O)N=N2)C(O)=C1)O,,7,16,Valid,776.8030000000003,5.202400000000006,223.25999999999993,16.0,12.0,4.0
